countryOrRegion;county;isoCode;lat;location;long;newDeaths;newlyConfirmedCases;newlyRecoveredCases;provinceOrState;totalConfirmedCases;totalRecoveredCases
United States;;US-VT;44.558803;{u'totalRecoveredCases': 1321, u'newlyConfirmedCases': 0, u'long': -72.577841, u'totalConfirmedCases': 1553, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 44.558803, u'countryOrRegion': u'United States', u'isoCode': u'US-VT', u'provinceOrState': u'Vermont', u'newlyRecoveredCases': 0};-72.577841;0;0;0;Vermont;1553;1321
United States;;US-VA;37.431573;{u'totalRecoveredCases': 13477, u'newlyConfirmedCases': 0, u'long': -78.656894, u'totalConfirmedCases': 112007, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 37.431573, u'countryOrRegion': u'United States', u'isoCode': u'US-VA', u'provinceOrState': u'Virginia', u'newlyRecoveredCases': 0};-78.656894;0;0;0;Virginia;112007;13477
United States;;US-WA;47.751074;{u'totalRecoveredCases': 23404, u'newlyConfirmedCases': 0, u'long': -120.740139, u'totalConfirmedCases': 73613, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 47.751074, u'countryOrRegion': u'United States', u'isoCode': u'US-WA', u'provinceOrState': u'Washington', u'newlyRecoveredCases': 0};-120.740139;0;0;0;Washington;73613;23404
United States;;;38.597626;{u'totalRecoveredCases': 6144, u'newlyConfirmedCases': 0, u'long': -80.454903, u'totalConfirmedCases': 9211, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 38.597626, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'West Virginia', u'newlyRecoveredCases': 0};-80.454903;1;0;0;West Virginia;9211;6144
United States;;US-WI;43.78444;{u'totalRecoveredCases': 54181, u'newlyConfirmedCases': 0, u'long': -88.787868, u'totalConfirmedCases': 70159, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 43.78444, u'countryOrRegion': u'United States', u'isoCode': u'US-WI', u'provinceOrState': u'Wisconsin', u'newlyRecoveredCases': 0};-88.787868;0;0;0;Wisconsin;70159;54181
United States;;US-WY;43.075968;{u'totalRecoveredCases': 2641, u'newlyConfirmedCases': 0, u'long': -107.290284, u'totalConfirmedCases': 3548, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 43.075968, u'countryOrRegion': u'United States', u'isoCode': u'US-WY', u'provinceOrState': u'Wyoming', u'newlyRecoveredCases': 0};-107.290284;0;0;0;Wyoming;3548;2641
United States;;;;{u'totalRecoveredCases': 0, u'newlyConfirmedCases': 0, u'long': None, u'totalConfirmedCases': 6692, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': None, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Veteran Affairs', u'newlyRecoveredCases': 0};;0;0;0;Veteran Affairs;6692;0
United States;;;;{u'totalRecoveredCases': 1947, u'newlyConfirmedCases': 0, u'long': None, u'totalConfirmedCases': 6213, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': None, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'US Military', u'newlyRecoveredCases': 0};;0;0;0;US Military;6213;1947
United States;;;;{u'totalRecoveredCases': 0, u'newlyConfirmedCases': 0, u'long': None, u'totalConfirmedCases': 1540, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': None, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Navajo Nation', u'newlyRecoveredCases': 0};;0;0;0;Navajo Nation;1540;0
United States;;;;{u'totalRecoveredCases': 507, u'newlyConfirmedCases': 0, u'long': None, u'totalConfirmedCases': 1047, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': None, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Federal Prisons', u'newlyRecoveredCases': 0};;0;0;0;Federal Prisons;1047;507
United States;;;;{u'totalRecoveredCases': 0, u'newlyConfirmedCases': 0, u'long': None, u'totalConfirmedCases': 3, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': None, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Wuhan Repatriated', u'newlyRecoveredCases': 0};;0;0;0;Wuhan Repatriated;3;0
